metric,submitted,paper,absolute_difference,percentage_point_difference
accuracy,0.9980581561409076,0.9982902253252935,0.00023206918438589685,-0.023206918438589685
balanced_accuracy,0.9973041489558738,0.9973130223537573,8.873397883468748e-06,-0.0008873397883468748
precision_macro,0.9958003974489811,0.9966082178195756,0.0008078203705945697,-0.08078203705945697
recall_macro,0.9973041489558738,0.9973130223537573,8.873397883468748e-06,-0.0008873397883468748
f1_macro,0.9965503990459912,0.9969602090789611,0.00040981003296991503,-0.0409810032969915
f1_weighted,0.998059626302576,0.9982908315386935,0.0002312052361174155,-0.02312052361174155
